↓Km →Kp,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2
-0.8,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,2
-0.7,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,2,2,2,2,2,2
-0.6,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,2,2,2,2,2,2
-0.5,1,1,1,1,1,1,1,1,1,1,3,3,3,6,2,2,2,2,2,2,2
-0.4,1,1,1,1,1,1,1,1,1,3,3,3,3,6,2,2,2,2,2,2,2
-0.3,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2
-0.2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4
-0.1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
0.1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
0.2,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2
0.3,1,1,1,1,1,1,1,1,1,3,3,5,2,2,2,2,2,2,2,2,2
0.4,1,1,1,1,1,1,1,1,1,3,3,5,5,2,2,2,2,2,2,2,2
0.5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2,2,2,2,2,2
0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2,2,2,2,2
0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2,2,2,2
0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2,2,2
0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2,2
1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2
1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5
