5027	3	3	3	3	3	3	3	3	3	4	
5032	4	4	4	4	4	5	4	5	5	4	
5040	5	5	5	5	6	4	4	4	4	5	
5050	4	4	4	4	4	4	4	4	4	4	
5007	4	4	4	4	4	4	4	4	4	4	
5049	5	4	4	4	4	5	4	4	5	4	
5058	4	4	4	4	4	4	2	2	3	4	
5017	4	4	4	4	4	4	5	4	4	4	
5070	5	5	5	4	5	5	3	3	4	4	
5021	4	4	4	4	4	4	4	4	4	4	
5024	3	3	3	3	3	3	3	5	2	3	
5036	4	4	4	4	4	4	4	3	4	4	
5063	4	4	4	4	4	4	3	4	4	5	
5003	4	4	4	4	4	4	5	4	4	3	
5020	4	4	4	4	4	4	4	4	4	4	
5053	3	3	3	3	3	3	3	3	3	3	
5055	4	4	4	4	4	4	4	4	4	5	
5048	4	4	4	4	4	4	4	4	3	4	
5011	4	4	4	4	4	4	4	4	3	3	
5051	5	5	4	4	4	4	4	4	4	3	
5014	4	4	4	4	4	4	4	4	3	3	
5016	4	4	4	4	4	4	4	4	3	4	
5030	4	4	4	4	4	4	5	4	5	4	
5023	3	3	3	3	3	3	3	3	3	4	
5008	3	3	3	2	2	3	3	4	4	3	
5005	2	2	2	2	2	2	2	3	4	4	
5004	3	3	3	3	3	3	3	4	5	2	
5047	4	4	4	4	4	4	3	4	6	4	
5054	3	3	3	3	3	3	3	3	4	4	
5042	4	4	4	4	4	4	4	4	4	4	
5052	5	5	5	5	5	5	4	5	4	4	
5010	4	4	4	4	4	4	5	4	4	4	
5026	4	4	4	4	4	4	4	4	4	4	
5038	5	5	5	4	4	4	4	3	4	4	
5018	4	4	4	4	4	4	4	4	5	5	
5034	5	5	5	4	4	4	4	6	4	4	
5068	5	5	5	4	3	3	3	4	4	5	
5001	4	4	4	4	3	3	3	5	5	4	
5037	4	4	4	4	4	4	4	4	2	4	
5043	3	3	3	3	3	3	3	3	3	4	
5062	4	4	4	4	3	4	3	4	4	4	
5013	4	4	4	4	4	4	4	4	4	4	
5057	4	4	4	4	4	4	4	4	3	3	
5029	3	3	3	3	3	3	3	3	4	5	
5015	4	4	4	4	4	4	4	3	4	4	
5061	4	4	4	4	4	4	4	4	4	3	
5065	4	4	4	4	4	4	4	3	4	4	
5060	3	3	3	3	3	3	3	3	4	5	
5059	3	3	3	3	3	3	3	4	4	3	
5069	3	3	3	3	3	3	3	3	4	4	
5006	3	3	3	3	3	3	3	2	2	3	
5033	3	3	3	3	4	3	3	3	3	4	
5022	4	3	3	3	3	4	4	4	4	4	
5009	4	4	4	4	4	4	4	4	4	5	
5044	3	3	3	3	3	3	4	3	4	5	
5028	3	3	3	3	3	3	3	3	5	3	
5066	4	4	4	4	4	4	5	5	4	5	
