20026	4	4	4	4	4	4	4	4	4	4	
20060	4	4	3	3	3	3	3	4	3	4	
20070	4	4	4	4	4	4	4	4	5	3	
20036	4	4	4	4	4	3	4	4	5	4	
20053	4	4	4	4	4	4	4	4	4	4	
20037	4	4	4	4	5	4	4	4	3	6	
20009	4	4	4	4	4	5	5	4	3	4	
20047	3	3	3	3	3	3	4	4	4	3	
20017	4	4	4	4	4	4	4	4	3	2	
20065	3	3	3	3	4	3	3	4	4	5	
20016	4	4	4	4	4	4	4	4	4	4	
20021	3	3	3	3	3	3	3	4	4	5	
20007	2	2	2	2	2	2	2	3	3	4	
20067	3	3	3	3	3	4	4	5	5	4	
20001	4	4	4	4	4	4	4	4	3	3	
20043	4	4	4	4	4	3	4	4	4	6	
20020	4	4	4	4	4	4	4	4	4	4	
20038	4	4	4	4	4	3	3	3	4	4	
20034	5	5	5	5	5	5	4	5	4	4	
20006	4	4	4	4	4	4	4	4	3	4	
20030	4	4	4	4	4	5	4	4	4	4	
20032	2	2	2	2	2	2	2	2	2	2	
20015	5	5	5	5	4	4	4	3	4	4	
20039	3	3	3	3	3	3	3	4	4	3	
20054	3	3	3	3	3	3	3	4	4	5	
20049	3	3	3	3	3	3	3	3	4	4	
20014	5	5	5	4	4	4	3	3	4	5	
20029	4	4	4	4	5	4	4	5	4	4	
20063	3	3	3	3	3	3	3	3	4	5	
20062	4	4	4	4	4	4	5	4	4	3	
20069	4	4	4	4	4	4	4	3	2	3	
20051	4	4	4	4	4	4	4	4	5	4	
20059	5	5	5	5	5	4	4	4	5	4	
20023	4	4	4	5	5	5	4	4	5	4	
20052	3	3	3	3	3	3	3	4	4	4	
20013	3	3	3	3	3	3	3	3	4	3	
20055	4	4	4	4	4	4	4	4	4	3	
20045	4	4	4	4	4	4	4	4	3	5	
20058	4	4	4	4	4	4	5	5	4	4	
20010	3	3	3	3	3	3	3	4	3	3	
20012	4	4	4	4	4	4	4	4	3	4	
20046	4	4	4	4	4	4	4	4	3	4	
20044	4	4	4	4	4	4	4	5	5	4	
20022	5	4	4	4	4	5	4	5	6	3	
20002	5	5	5	5	4	4	4	4	3	4	
20048	4	4	4	4	4	4	4	3	3	3	
20005	5	5	5	5	5	4	4	4	4	4	
